Random Scheduling,Hillclimber,Exponential,Linear
948,1191,1160,1030
994,1186,1158,1191
931,1136,1158,1054
986,1122,1158,1112
984,1176,1158,1155
1014,1085,1158,1129
1049,1186,1157,1116
924,1203,1157,1197
1018,1188,1157,1080
988,1195,1157,1113
1035,1118,1157,1147
920,1191,1156,1093
843,1102,1156,1154
973,1138,1156,1031
986,1140,1156,1164
1069,1181,1156,1198
1031,1077,1156,1163
996,1167,1156,1135
960,1049,1155,1157
989,1166,1155,1196
999,1170,1154,1074
879,1190,1154,1152
974,1155,1153,1176
1012,1176,1153,1110
998,1158,1153,1239
945,1159,1153,1142
1000,1099,1152,1192
1029,1236,1152,1163
1044,1196,1152,1176
948,1238,1151,1165
927,1176,1151,1134
918,1143,1151,1204
949,1159,1151,1139
905,1227,1151,1121
990,1147,1150,1103
976,1137,1150,1104
990,1127,1149,1181
1027,1190,1148,1127
958,1210,1147,1159
1011,1089,1147,1096
925,1165,1146,1189
932,999,1146,1118
896,1136,1146,1142
901,1132,1146,1186
890,1178,1145,1068
953,1112,1143,1188
927,1153,1143,1124
975,1163,1143,1212
965,1140,1139,1139
921,1147,1139,1173
938,1115,1139,1065
954,1127,1139,1223
1030,1180,1138,1192
944,1192,1138,1200
986,1086,1138,1096
908,1202,1137,1165
957,1200,1136,1202
983,1075,1136,1104
916,1177,1136,1238
935,1116,1135,1180
900,1094,1133,1108
938,1128,1133,1164
985,1250,1132,1129
872,1244,1132,1094
921,1147,1130,1150
930,1221,1130,1137
1007,1137,1130,1148
825,1167,1130,1215
961,1092,1128,1196
1033,1097,1127,1214
993,1117,1127,1115
861,1067,1126,1156
966,1211,1126,1144
997,1103,1126,1154
996,1221,1125,1171
954,1153,1125,1132
970,1216,1125,1142
834,1230,1125,1133
856,1156,1123,1179
842,1066,1123,1135
961,1153,1123,1092
898,1054,1123,1194
974,1117,1123,1184
1023,1195,1123,1097
938,1166,1122,1213
920,1148,1122,1133
925,1118,1121,1220
959,1227,1121,1079
973,1190,1121,1168
953,1075,1120,1136
962,1027,1119,1219
956,1140,1119,1188
980,1207,1119,1283
902,1121,1118,1158
790,1208,1118,1184
974,1038,1117,1121
843,1016,1117,1156
909,1137,1117,1112
943,1113,1116,1076
921,1071,1116,1173
981,1240,1116,1175
1021,1200,1115,1126
923,1241,1115,1146
1010,1214,1115,1163
991,1177,1115,1166
926,1178,1115,1229
950,1144,1113,1079
942,1170,1113,1185
907,1143,1111,1043
1005,1185,1111,1099
1051,1130,1111,1108
932,1139,1111,1144
879,1220,1110,1121
867,1190,1108,1136
970,1093,1107,1189
835,1057,1107,1012
896,1186,1106,1159
923,1125,1104,1090
890,1162,1103,1072
1000,1185,1103,1191
970,1136,1102,1114
950,1234,1102,1186
951,1199,1101,1140
898,1052,1098,1089
988,1219,1097,1119
847,1175,1096,1197
910,1233,1095,1078
846,1047,1094,1166
935,1164,1093,1100
900,1172,1093,1164
948,1100,1081,1158
938,1189,1081,1087
878,1098,1081,1180
948,1163,1080,1182
979,1092,1077,1147
937,1117,1076,1116
977,1130,1073,1081
944,1180,1072,1179
956,1176,1069,1133
773,1112,1052,1159
865,1174,1047,1082
926,1119,1045,1176
882,1077,1033,1178
920,1192,1029,1100
895,1184,1166,1069
912,1173,1207,1180
958,1081,1224,1157
1039,1144,1197,1111
1006,1167,1204,1163
937,1188,1175,1130
1033,1261,1107,1127
826,1198,1131,1093
864,1190,1239,1078
967,1083,1243,1187
990,1160,1089,1212
954,1153,1212,1154
